"id","affil","cnt","affil2"
1,"Massachusetts Institute of Technology",1,"MIT"
2,"Jenike & Johanson , Inc.",1,"Jenike & Johanson , Inc."
3,"Pfizer Worldwide Research",2,"Pfizer Worldwide Research"
4,"FDA",1,"FDA"
5,"Eli Lilly & Co.",1,"Eli Lilly & Co."
6,"GlaxoSmithKline",1,"GlaxoSmithKline"
6,"Modelling Center of Excellence",1,"Remove"
7,"Eli Lilly , Company",1,"Eli Lilly & Co."
8,"Graz University of Technology",1,"Graz University of Technology"
8,"Novartis Pharma AG",1,"Novartis Pharma AG"
8,"Particle Engineering",1,"Remove"
8,"Research Center Pharmaceutical Engineering GmbH",1,"RCPE GmbH"
9,"Eli Lilly & Co.",1,"Eli Lilly & Co."
9,"Eli Lilly , Co.",1,"Eli Lilly & Co."
10,"Development",1,"Remove"
10,"Eli Lilly & Co",1,"Eli Lilly & Co."
10,"Eli Lilly & Co.",1,"Eli Lilly & Co."
11,"Institute for Materials",1,"Remove"
11,"Institute for Materials & Processes IMP",1,"Remove"
11,"School of Engineering",1,"Remove"
11,"University of Edinburgh",2,"University of Edinburgh"
12,"Biogen",1,"Biogen"
12,"Calvin College",1,"Calvin College"
12,"Chemical Engineering",1,"Remove"
12,"Department of Chemical Engineering",1,"Remove"
12,"MIT",1,"MIT"
12,"Massachusetts Institute of Technology",1,"MIT"
13,"Bristol Myers-Squibb",3,"Bristol Myers-Squibb"
13,"Manufacturing Sciences",1,"Remove"
13,"Manufacturing Technology",1,"Remove"
14,"ETH Zurich",1,"ETH"
14,"Institute for Chemical",1,"Remove"
14,"Merck Serono S.A.",1,"Merck Serono S.A."
15,"Bristol-Myers Squibb",1,"Bristol Myers-Squibb"
15,"Bristol-Myers Squibb Company",1,"Bristol Myers-Squibb"
15,"Chemical Development",2,"Remove"
16,"Inc.",1,"Remove"
16,"Merck & Co",1,"Merck"
16,"PAT",1,"Remove"
17,"Eli Lilly & Co.",2,"Eli Lilly & Co."
18,"Applied Biosciences",1,"Remove"
18,"Institute for Chemical",1,"Remove"
18,"Swiss Federal Institute of Technology",1,"Swiss Federal Institute of Technology"
18,"University of Tokyo",1,"University of Tokyo"
19,"Drug Administration",1,"FDA"
19,"Facilities",1,"Remove"
19,"Office of Pharmaceutical Quality/Office of Process",1,"Remove"
20,"Bristol Myers Squibb",1,"Bristol Myers-Squibb"
20,"Bristol-Myers Squibb",2,"Bristol Myers-Squibb"
20,"Bristol-Myers Squibb Company",1,"Bristol Myers-Squibb"
20,"Research & Development",1,"Remove"
21,"Bristol-Myers Squibb",3,"Bristol Myers-Squibb"
22,"Chemical",1,"Remove"
22,"Rutgers University",1,"Rutgers University"
23,"Purdue University",1,"Purdue University"
